Description,Title,URL,Compensation,Address,Employment Type
"
        
Architectural metal and glass company seeking someone proficient in storefronts, curtain wall and architectural metals. Must be up to date in Auto Cad and knowledge of Revit is a plus. Salary commensurate with experience, vacation, benefit program and pension plan. Please e-mail resume    ",AUTOCAD DRAFTSMAN,https://newyork.craigslist.org/wch/egr/d/autocad-draftsman/6315484859.html,Salary commensurate with experience,New Rochelle,full-time
"
        
Growing licensed Architect firm located in Chinatown seek for full time energetic, talent and responsible employees to work on multi-task commercial and residential renovation project involved with Building Code, Zoning and Building Department Expediting.

-Hard working, responsible, self-motivated efficient; and ability to work on short time frames and complete projects on tight schedules.

-Architectural, Engineering degree, or related Construction experience/education is a plus, Proficiency with AutoCAD Architecture 2017 is a must after a few weeks training;  Must be authorized to work in the US. 

Please email your cover letter with salary requirements, resume, and work samples.  Salary with full benefits will be commensurate with experience.
    ",Architectural Draftpersons & Office Assistant,https://newyork.craigslist.org/mnh/egr/d/architectural-draftpersons/6315427473.html,"we offer yearly bonus, vacation, holiday pay",Chinatown / Lit Italy,full-time
"
        
Engineer Tasks 

Managing all aspects of electrical design projects including equipment selection and specifications, system design, layout, calculations and field visits with minimal supervision. 
Load calculations, lighting and power circuiting, equipment selection, equipment specification, system design system layout, field investigations, construction administration and quality control. 
Preparation of due diligence, and feasibility reports. 
Perform project management, interface with clients and attend meetings and presentations. Oversight of the profitability of production.
Oversight of support personnel and design engineers, supervising  2 - 6 members of an electrical studio. 
Your technical expertise must be complemented by self motivation and strong communication skills and presentation skills. 
Qualifications

BS in Electrical Engineering. 
10-15 years experience consulting engineering experience a minimum 5 years supervisory experience required. 
Thorough familiarity and understanding of critical systems and data center. 
Knowledge of Critical Facilities, emergency generators and UPS design 
Thorough understanding of local codes. 
Ability to perform site evaluations. 
Thorough understanding of local codes. 
Field trouble-shooting skills. 
Ability to perform quality control review of contract documents. 
PE license is required 
Experience working in Autocadd, Revit or other BIM delivery methods is a plus. 
Must be an effective team player. 
Travel is required within US.
    ",Sr. Electrical Engineer,https://newyork.craigslist.org/mnh/egr/d/sr-electrical-engineer/6316366688.html,150000-165000,NYC,full-time
"
        
EXPERIENCE CONSTRUCTION ENGINEER NEEDED FOR BUSY QUEENS OFFICE (KEW GARDENS)

The Construction Engineer position is responsible for, and provides coordination and construction management to all projects and ensure the successful completion of construction of each project within scope, schedule and budget. 


ESSENTIAL FUNCTIONS:


MUST BE LICENCE TO WORK IN NYC

•  Manages numerous construction projects at a professional level
•  Represents a Division or sub-department for all third-party design projects
•  Provides Amtrak construction guidelines to third-party contractors
•  Participates in the review of contract documents and quality control/quality assurance procedures for in-house construction projects and makes recommendations for same.
•  Participates in the constructability review of project plans and specifications
•  Responsible for day-to-day control and construction management of projects
•  Ensures that construction work is progressed in accordance with standard plans, specification.  
•  Performs construction inspections necessary to protect the integrity and safety of the operations and determines necessary remedial actions by third-party contractors to correct deficiencies
•  Updates project schedules and tracks overall project performance
•  Resolves all customer-billing exceptions
•  Performs and coordinates project closeout functions

WORK EXPERIENCE:

•  Extensive construction experience
•  Demonstrated experience and knowledge maintenance and construction methods
•  Demonstrated experience working with contractors
•  Demonstrated experience in working with multiple team members
•  Ability in the exercising of considerable judgment and initiative
•  Demonstrated experience in Planning/Scheduling, Administration and Contracts Management
•  Demonstrated experience in Construction Management


Must have excellent oral and written communication skills

Highly detail oriented and extremely organized.

Someone who can take direction and act promptly and accurately, with little or no supervision. 

Candidates must be able to work independently and without a lot of direction.


TO SECURE AN INTERVIEW PLEASE EMAIL YOUR RESUME TO: office.hru@gmail.com


    ",EXPERIENCE CONSTRUCTION ENGINEER NEEDED FOR BUSY QUEENS OFFICE,https://newyork.craigslist.org/que/egr/d/experience-construction/6316232075.html,TBD,KEW GARDENS,full-time
"
        
Seeking Construction Estimater, knowledge  of Architetural Windows and Doors a plus , to price public and private works. knowledge excel and drawings required .    ",Construction Estimator,https://newyork.craigslist.org/brx/egr/d/construction-estimator/6315589624.html,TBD,bronx,contract
"
        
Construction Firm seeking individual to work in project management.

Individual will work with public contracts from estimating through project completion.
Prepare construction schedule, shop drawings, as built drawings etc. from contract drawings and specifications.  
Able to prepare change & field order.  Request for quotes from suppliers and subcontractors.
Prepare submittals, product research, technical letters and communication to NYC & NYS Agencies, 
Architects, CM, Owner's Rep. Technical Rep. etc.
Attend job meeting and coordinate field work with super etc. Ordering of Material, coordination with Vendor & Subcontractor.  Maintain job tracking report on a daily basis etc.

Candidate must have some construction knowledge and experience.

MS Office Skills required - Word, Excel, Access, Outlook
Scheduling Software Knowledge a plus, Auto Cad etc.    ",Project Engineer For Construction,https://newyork.craigslist.org/brk/egr/d/project-engineer-for/6316591317.html,Based on Previous Experience,Brooklyn,full-time
"
        
Poliform is an international, high end, design company specializing in kitchens, closet and day systems and furniture. We are currently seeking an Assistant Project Manager to be part of our New York City operations.

Job Description:
This position oversees the delivery and installation of projects on both the retail and contract side of the business.  Conducts site visits to obtain knowledge of possible issues, and is also on site the day of installation.  Coordinates and supervises other vendors at the job site as needed.  Works with the rest of the team to maintain the integrity of the initial design and to ensure overall client satisfaction.  Also responsible for the punch list and resolving issues in a timely manner.  

Qualifications:
-Previous experience in architecture, residential construction or design fields
-Ability to work well under pressure and meet deadlines
-Excellent written and verbal communication
-Knowledge of Microsoft Office such as Outlook and Excel
-Ability to adapt to last minute changes
-Note taking and field measuring skills preferred

Poliform offers a competitive base salary, along with a benefits package including medical, dental, company matched 401K and generous time off. We also are committed to helping employees succeed in their role by providing outstanding support and training. We invite you to learn more about the company and its history at .
    ",Assistant Project Manager for Design Company,https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager-for/6316699356.html,TBD,Midtown East,full-time
"
        
Small Union Square based Architectural practice seeks junior architect to join the firm.

Office specializes in the analysis and restoration of existing buildings and the preservation of historic structures.  We have a commitment to high-quality work, an insistence on proper detailing and a strong regard for longevity.

Projects range from one-room historic structures to five-hundred unit residential buildings, and from the rehabilitation of tenement buildings to the restoration of some of the most prestigious buildings in the city.  Projects are based in NYC.


Qualifications:
Be conscientious and enthusiastic & meticulous;
Have initiative and self-motivation;
Have experience in the preparation of construction documents;
Have excellent drafting skills and the ability to produce hand sketches on-site;
Be highly proficient in Vectorworks and be familiar with MS Office programs;
Have a Bachelor of Architecture;
Have keen interest or experience in historic preservation & exterior restoration;
Have desire to learn and enthusiasm;
Be unafraid of heights and be willing to get hands dirty.


Email resume with limited portfolio excerpts only where relevant to items above.
    ",Junior Architect - Restoration Firm,https://newyork.craigslist.org/mnh/egr/d/junior-architect-restoration/6313948571.html,tbd,Union Square,full-time
"
        

Seeking a full time structural engineer:

EOC-NY is a multifaceted, full-service engineering and consulting firm providing structural, architectural, and geotechnical services for an array of restoration and new construction applications. We are always looking for diverse, passionate, and talented individuals. We believe that an open and transparent office environment facilitates ingenuity and progress. New ideas are always welcomed.
At present, we are seeking a full time structural engineer to take on variety of tasks including developing calculation reports, drawings, & specifications, as well as performing field inspections. The position offers benefits, health insurance ,bonus incentive and overtime rate for working over 40 hr.'s a week.

Qualifications:
•	MS in civil with emphasis in structural, and/or geotech
•	Strong command of fundamental structural engineering principles
•	Work experience related to historic restoration, building facades, and temporary structures.
•	Well organized and self-disciplined with good independent problem solving skills
•	Excellent written and verbal communication skills
•	Knowledge of current design codes and standards 
•	Ability to work successfully in a collaborative team oriented environment
•	Proficient in MS office and standard drafting softwares (Revit/AutoCAD)
•	Finite element analysis experience is required
•	Ability to prepare structural drawing sets for schematic, design development and construction phases of projects
•	A  min of 4 year of relevant work experience w/ FE certification is required
•	Ability to take advice and constructive criticism, as well as to offer it 

Hours & Location:
40 hr.'s /week @ 128 32nd Street Suite 102, Brooklyn, NY 11232

Compensation: 
Salary based on experience 


    ",Seeking Full Time Structural Engineer,https://newyork.craigslist.org/brk/egr/d/seeking-full-time-structural/6316788103.html,Based on experience,Brooklyn,full-time
"
        
The Assistant Construction Project Manager will be expected to have a detailed understanding of the field conditions and challenges faced as a General Contractor. They must be able to convey specific elements of the design and overall project to Sub-Contractors throughout the construction phase. This shall be accomplished through: Attendance to construction meetings, conference calls, documentation by means of e-mails, notifications, review and evaluation of construction submittals and shop drawings, review and recommendation of Sub Contractor Pay requests, observation and supervision of the Construction Site and Conducting Substantial and Final Completion Inspections and preparing appropriate punch lists and certificates. And in general any and every tool as offered within the parameter of the General Conditions of the in Contract for Construction.

DUTIES INCLUDE (but are not limited to):
•	Process Submittals and RFI's
•	Easily adapt to current methods
•	Knowledge of NYC DOB Requirements and Sign-off's a plus
•	Experience with reviewing and qualifying RFI's, submittals, and change orders
•	Coordinate construction trades work flow, time and quality
•	Understand OSHA safety requirements
•	Conduct job meetings
•	Experience in working with on-site Superintendent
•	Maintain job schedule and update schedule weekly
•	Basic computer knowledge (Microsoft Office)
EDUCATION AND/OR EXPERIENCE:
•	Three years related experience and/or training; or equivalent combination of education and experience.
•	Minimum 3 years experience in blueprint reading
•	Retail and/or new construction experience is a plus
•	Movie Theater experience is a plus

Salary commensurate with experience. We offer a comprehensive benefits package including: 401K, disability, medical/dental, and an excellent work environment.

Employer is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
    ",Assistant Project Manager - General Contractor,https://newyork.craigslist.org/stn/egr/d/assistant-project-manager/6312151092.html,Salary commensurate with experience-Please include salary request with resume,Staten Island,full-time
"
        
Immediate Need for a Project Manager for a downtown NYC University facilities and construction group. The successful candidate or candidates will work independently on long-term projects as the Construction Project Manager on various university capital improvement projects.

Must be able to prepare construction bids, formulate change orders, evaluate bids and make recommendations.  Five to ten years or more of combined MEP engineering and construction experience. This is an in-house project management position with only occasional visits to the site.  Require excellent written and verbal communication skills.  Bachelor's degree in Mechanical or Electrical Engineering, Architecture or Construction Management.  

Contact Joe or Alexandra NOW at CareerPoint Staffing!


    ",Project Manager - Construction Manager,https://newyork.craigslist.org/mnh/egr/d/project-manager-construction/6312140735.html,Hourly rate commensurate with experience,Greenwich Village,contract
"
        
International engineering and construction firm based in downtown NYC is currently searching for engineers, architects and building inspectors.  Candidates will be required to inspect public buildings and prepare condition assessments using a tablet with specialized proprietary software.  All candidates must be local; available to start October 23rd and commit to a very long-term assignment.  All should be able to work cooperatively in 4-person inspection teams.  

Mechanical Engineers must have at least five years of experience in HVAC equipment, plumbing, furnaces and fire protection equipment.  Preference will be given to those applicants with prior experience in building inspections, condition assessments, building maintenance, building surveys or experience in the BCAS methodology.  Must have a BSME or equivalent.    ",Mechanical Engineers and Building Inspectors,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineers-and/6312188422.html,"Paid by the hour, commensurate with experience",Financial District,contract
"
        
BOLD is looking for a lead designer for a full-time position in our New York City office. Applicants should have experience working on a full range of project types and in all phases of work. Excellent communication skills and problem solving skills are very important, as well as enthusiasm and positivity.

We require a minimum of 6 years of experience working in the field of architectural lighting design. A completed Bachelor's degree in Interior Design, Architecture or Architectural Lighting Design is required. Candidates must have working knowledge of the Adobe Suite, AGI32, AutoCAD, and the Microsoft Office Suite.

Salary is commensurate with experience. Generous fringe benefits.

Please submit your resume with a comprehensive portfolio.

For more information about BOLD, visit us at 
    ",Lead Designer,https://newyork.craigslist.org/mnh/egr/d/lead-designer/6306202599.html,Salary is commensurate with experience. Generous fringe benefits.,Midtown West,full-time
"
        
 New York City's leading professional firm dedicated to the preservation of buildings and infrastructure is seeking a recent graduate with an architecture or structural engineering degree and an interest in preservation of buildings and infrastructure. 

SUPERSTRUCTURES works on an array of challenging projects on many of New York's most prominent buildings. We've won frequent awards, as well as the loyalty of some of the premier clients in the region -- public, corporate and residential.  Our work embraces all components of the building envelope and underlying structure - facades, roofs, windows, and plazas - and the full complement of materials, from landmark terra cotta to high performance curtain walls.  

We work in teams. Teams are assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a ""small office experience"" coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state of the art non-destructive diagnostic equipment and techniques.  

Employees typically participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see the designs you draw executed in the field, and you'll take on greater responsibility and client exposure as soon as you are ready.  

Frequent lunchtime seminars by industry experts, including our own in-house personnel, keep us current on developments in the profession (with the additional benefit of a free lunch).  

SUPERSTRUCTURES offers top-level compensation for top-level people, and the advancement potential of a thriving company.  

We are committed to a work / life balance, and to a work week of 40 hours.  When, on occasion, more than 40 hours are required, our employees are compensated for every additional hour worked. 
Our benefits include paid holidays, vacation and sick days, health insurance for employee and family, 401(k) with automatic employer contribution, a continuing education allowance, and free NYC Transit MetroCards.  

Our light-filled office is in a landmarked building with 16' high ceilings, 8' tall windows, and drop dead views in three directions - not a bad place to spend the workday. 

Our Tribeca location is one of New York City's most convenient and vibrant, easily accessible via public transportation. The A, C, and E subway lines stop right in the building. The N, R, #1, and #6 lines are each just a few blocks away. 

SUPERSTRUCTURES welcomes applications in reply to this posting. Please include a cover letter with salary requirements, your resume, and a few pages of attachments that display your capabilities (maximum of 10MB please).  

Note: Our thanks in advance to those submitting applications; only those candidates under consideration will be contacted.   

For additional information, visit our website at 
    ",Exterior Restoration / Recent Graduate,https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6303564348.html,Commensurate with experience,TriBeCa,full-time
"
        
Architecture company is looking for an experienced drafter/ junior architect to work full-time in the office located in Brooklyn. 
Our drafters work with the clients from the design phase to the sign-off. Strong understanding of the NYC Building Codes is crucial, however, we provide training. It is a fast-paced office, and we expect the employees to have knowledge and understanding of the processes involved in getting a project approved.
Experience with renderings (particularly 3D Max) is a plus. However training will be provided.
Please include resume and portfolio/samples that reflect your creativity.    ",Drafter Position Available- Bilingual Russian (must),https://newyork.craigslist.org/brk/egr/d/drafter-position-available/6301616480.html,Based on experience,,full-time
"
        
Display and wood cabinetry manufacturing company seeking motivated and
responsible individual to fill the position of Draftsperson Detailer. 



Must be experienced and proficient in 3D rendering.

Experience in creating CNC files required. 


Must also be skilled with drafting decorative patterns, intricate millwork
and heavily sculpted three dimensional elements for production. 

 
Candidate must be must be proficient in Auto cad and Rhino and 
familiar with materials such as solid wood, plywood,
plastic, metal fabrication and veneer work. 



Must submit portfolio with application, no candidate without portfolio will
be considered!



Hours are Monday through Friday 8:30 AM - 5:30 PM and must be available for
overtime, working until 8:30 PM and weekends at times.
•	Principals only. Recruiters, please don't contact this job poster.
•	do NOT contact us with unsolicited services or offers


    ",Draftsperson Detailer,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6301668562.html,tbd,Long Island City,full-time
"
        
Project Coordinator for Construction Projects at Sunset Park Brooklyn, NY 11220

Responsibilities:

Support Project management staff from project award to project close out
Prepare Job orders using an online data software
Coordinate documentation and maintain all submittals logs
Assist with project Schedule, material & client coordination, fabrication coordination, and project close out
Assist with creating & maintaining of project schedules and status of all project activities
Assist with coordination of materials with vendors
Attend and record accurate jobsite meeting minutes, schedule concerns and action items
Answer phones, and
Other responsibilities    ",Project Coordinator,https://newyork.craigslist.org/brk/egr/d/project-coordinator/6301745161.html,Based on Experience,Brooklyn,full-time
"
        
If you are a passionate architect, who has the motivation to grow, to work, to experiment, who loves design. This is an excellent opportunity to grow within a firm and be part of a dynamic and talented team. 

JMA seeks a talented and self-motivated candidate for a key position as a project architect. We are looking for someone skilled and savvy who is eager to become involved in all phases of the design process. This individual should also have a sincere passion and talent for architectural design.

Jorge Mastropietro Architects is a fast paced, multi disciplinary architecture and interior design studio specializing in high-end residential projects with offices in NYC and Buenos Aires. 

Requirements:
*Strong design sensibility
*At least 5 to 8 years of experience in all phases of design, from schematic through construction administration in the US. 
*High-end residential building experience 
*Bachelor of Architecture 5 years degree at minimum
*Involvement in project team staffing and scheduling as well as plan review for quality control and code compliance.
*Day-to-day client contact.
*Experience with construction documentation, site supervision.
*Knowledge of Building and zoning Code and submittals process
*Exceptional team-building abilities, detail oriented, problem-solving, follow-through and organization skills are key to this position.
*Strong communication and presentation abilities.

Please send us your resume with salary requirements. Please note that we are unable to sponsor for visas at this time.    ",Intermediate Architect Project Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6301838600.html,send salary requirment,NEW YORK,full-time
"
        
A civil engineering firm is seeking for a full time drafter or staff engineer.

Requirements:
United States or Foreign Bachelor Degree in Architecture, Civil Engineering, Structural Engineering or Project Management.  Diploma must be evaluated to US standards.
Fluent English and Russian
Understanding construction principals and safety measures
Intermediate knowledge of Microsoft Office (Excel and Ward) and AutoCAD
Must be highly organized, energetic, assertive and able to work independently
Good judgment and the ability to handle multiple projects simultaneously
Available and willing to work overtime hours if deemed necessary

Responsibilities:
Drafting in AutoCAD
Perform inspections if deemed necessary.
Performing calculations if possess necessary knowledge
    ",AutoCAD Drafter or Staff Engineer,https://newyork.craigslist.org/brk/egr/d/autocad-drafter-or-staff/6301906004.html,TBD,E 19th St. & Kings Hwy,full-time
"
        
Industrial Painting Contractor located in Queens, NY is looking for Civil or Environmental Engineering candidates to fill a position as an Estimator/Asst Project Manager.  Task entails, but not limited to, project estimating, oversight of project activities, preparation of project documentation, preparation and submission of cost analysis, ensuring all work complies with company safety and quality standards, ensure project budgets are maintained and effectively communicate with clients. The selected candidate will receive extensive training in estimating and civil engineering construction contract management techniques as they work alongside other experienced engineers.   Opportunity to work on some of the largest and prestigious mega construction projects within the NYC Metro Area.    ",Estimator/Asst. Project Manager,https://newyork.craigslist.org/que/egr/d/estimator-asst-project-manager/6301906729.html,TBD,Queens,full-time
"
        
A top rated steel and glass company seeks a CAD draftsman.

Requirements:


Please forward your resume to the email above.
Salary based on experience.    ",CAD Draftsman Needed,https://newyork.craigslist.org/que/egr/d/cad-draftsman-needed/6301768109.html,Based on Experience,"Queens, NY",full-time
"
        
High end Kitchen cabinet dealer looking for a designer / Sales person.  

We are looking for an individual that is self motivated and has no problem multitasking, as well as being detail oriented. 

*Must have at least 3 years experience w/ Kitchen Design
*Must have experience working with Various type of cabinet manufacturer Semi custom / fully custom
*Looking for someone to take ideas from concept to a completed product
*Must Plan / Design / Order cabinet and provide support to installers 
*Sales experience a must
*Must be able to communicate well with clients / job supers 
*Must have experience in ordering cabinetry

If you meet all of these requirements and are interested in this position Please respond back with your resume and telling us a bit about yourself. 


    ",Kitchen Cabinet Design / Sales,https://newyork.craigslist.org/lgi/egr/d/kitchen-cabinet-design-sales/6301915135.html,TBD - Based on Experience,Nassau County,full-time
"
        
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs.  Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes.  The final result is the successful completion of all our projects and absolute customer satisfaction.

We have immediate openings for:

Assistant Project Manager
Project Manager

Awesome team oriented work environment and company benefits package.

Company Perks:
-	Professional development, including continued education and networking
-	Paid vacation and personal days
	Paid Holidays 
-	Health, Dental, Vision Insurance
-	Bonus opportunities

-	Chance to grow with a dynamic expending firm who works with elite clients.


This is a fast-paced position that demands an organized, diligent, and detail-oriented candidate.
Successful candidates must be self motivated (punctual), able to work well in an entrepreneurial environment and be a team player. Equal Opportunity Employer M/F/D/V

Please apply on our careers page:


    ",Top Expediting Firm- Immediate Hires- Asst. Project Mgr / Project Mgr,https://newyork.craigslist.org/mnh/egr/d/top-expediting-firm-immediate/6301987255.html,DOE,Midtown West,full-time
"
        
Store fixtures company located in Brooklyn.  Seeking a junior to senior level design professional with excellent AutoCAD skills, an excellent eye for sourcing and an innate sense of style. 
* Full time Position
* POSITION AVAILABLE IMMEDIATELY
* Salary based on experience 

REQUIREMENTS:
. 2-3+ years of related experience in retail stores. Pharmacy design experience is preferred, but not mandatory. 
. High Proficiency in AutoCad required (floor plans, cabinetry, elevations, etc.)
. Proficiency in Design Manager software and Quickbooks is preferred, but not mandatory
. Proficiency in Microsoft Office Suite specifically Excel 
vendor/workroom communication.  
. Excellent written, presentation and people skills
. Must be extremely detail oriented, highly organized, punctual, possess a strong passion for design and have a great attitude.
. Driver's license and car owner is preferred to take measurements, but is not mandatory

If you feel you meet the above qualifications and would like to be considered for the position, please email your cover letter, resume, AND a few samples (floor plan/elevation and design scheme/s). Thank you.    ",Store Designer // Sales Rep,https://newyork.craigslist.org/brk/egr/d/store-designer-sales-rep/6302071001.html,Experienced based salary,Brooklyn,full-time
"
        
Construction drawing experience using NYC zoning/ bldg code,
Prepares permit applications and other required forms.
Legal documents for employment.
BA/BS in Architecture.

Communication skill with English needed
Full time, Part-time    ",ARCHITECT INTERN,https://newyork.craigslist.org/que/egr/d/architect-intern/6302158119.html,based on experience,QUEENS,full-time
"
        
An Interior Finish and FF+E supply company is looking for a qualified and experienced candidate to manage projects throughout the stages of material sourcing, procurement, design consultation, and material installation. This position will serve as the main liaison between our clients and the factories and vendors we work with.
Our typical projects include hotels, high rise residential towers, and apartment complexes. We work with developers and architects to source high quality and unique finishes from global sources.

The Procurement Project Manager will be responsible for:
Bidding, planning, execution and closing of any project brought to the company.
Determination and implementation of clients' needs based on knowledge of the firm, project description and scope of work
Provide the bridging gap between the factory production team and the client.
Handling of all project submittals to and from the client and factories
Providing a Material Take-off to identify and quantify all the materials that are required to accomplish the design/project.
Prepare in a timely fashion the definitive cost estimates based on the design package and take off of the project scope by itemizing it into line items with measured quantities.
Providing and/or reviewing Quality Reports as required per project to uncover defects and allowing or denying product release.
Familiarizing yourself with all products and specifications that the company provides.
Processing of purchase orders, payment request and review invoices for accuracy and approval for payment.
Oversee all procedures for logistics in import/export of shipments, including pick up, delivery and clearing customs.
Provide weekly update to Director of Operations pertaining to project functions

KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:
Strong computer skills, including but not limited to MS Office, Photoshop, Autocad, and On-Screen Takeoff - a PLUS
Excellent relationship building skills.

EDUCATION AND OR EXPERIENCE
Education Requirements: Associates Degree or Higher.
Experience: Minimum of 2 years of experience in interior design, architecture, or a purchasing role
    ",Procurement Project Manager with Design/Architecture background needed,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6302072106.html,Based on experience,Midtown East,full-time
"
        
This position requires overall coordination and delivery of projects. As well as the ability to successfully manage and execute design/construction projects within schedule, scope, and budget.

Responsibilities may include:

• Supervision of team members

• Client interaction

• Quality control oversight

• Document control

• Review of drawings for compliance to design standards

• Coordination of design reviews

• Presentation of project status to executive staff

• Management of design services during construction activity including shop drawing review/RFI/RFC/change order review and negotiations

• Review and process of invoices

• Management of scope changes and mitigation plans

Desired skills include:

• Knowledge of project control software (CPM scheduling, cost estimating, etc.)

• Proficient in Word, Excel, PowerPoint

• Problem-solving capability

• Strong computer skills, including experience in spreadsheets, estimating, and project schedules

• Ability to work both independently and in a collaborative team-oriented environment

• Ability to prioritize and execute tasks in high-pressure situations

• Solid communication and Delegation skills

• Knowledge of local building codes, standards, material and equipment life-cycle costs

Required Experience/Education:

• 8-10 years of project/construction management experience in mechanical/electrical/plumbing projects

• Bachelor's degree in Engineering, Construction Management, or related field

Preferred Licenses and Certificates:

• EIT and/or Professional Engineering (PE) certification

• Project Management Professional (PMP) certification

• Certified Construction Manager (CCM) certification

• About us:

We are an established Consulting firm, since 1990, offering services to the Engineering and Architecture Communities.We cater to the top Architectural and Engineering firms in both Industries.We have a very specialized niche' of services offering various exposures to all aspects of the design.Extensive growth potential, gaining practical experience in multiple fields and facets of the industries, working in an open and energetic environment.We are constantly moving forward, expanding, looking for people with dedication and expertise in the Engineering and design fields, all levels.

We recognize our people as our most valuable asset and competitive salary.

SPONSORSHIP AVAILABLE

NO RECRUITERS

Job Type: Full-time

Required education:
    ",CONSTRUCTION MANAGER BOILER PLANT REHAB,https://newyork.craigslist.org/brk/egr/d/construction-manager-boiler/6302243594.html,DOE,Brooklyn,full-time
"
        
Storied European design firm seeks Interior Designer with 3 - 7+ years experience to work directly with Design Leadership in the concept/design development and execution of 6 Star hotel property. Project has enormous cultural significance and will afford the right designer the rare opportunity to be a part of a project with global renown, extreme visibility and great longevity (*a project of this caliber will not undergo renovation for many, many years). 
The Interior Designer we seek must show the appropriate taste level and great aesthetic sensibilities spanning styles and periods. Must also display a balanced set of skills, ranging from the ability to develop conceptual schemes, sourcing and selecting FF&E as well as ability to develop custom fabrics, furniture and other interior elements. Must be able to manage fabricators and vendors, have strong organizational skills and ability to produce drawings in CAD. 
Send resume and work samples for consideration. All submissions will be kept confidential and you will receive response within 48 hours of submission.    ",Interior Design / Top International Hotel Brand,https://newyork.craigslist.org/mnh/egr/d/interior-design-top/6302172264.html,Negotiable. Competitive.,,full-time
"
        
The Role

-	Interior and schematic design plans 
-	Floor plans, layouts and elevations 
-	Materials and Finishes 
-	Lighting plans and reflected ceiling plans 
-	Mill work 
-	Construction Documents 
-	Design Documents 
-	3D models 
-	Architectural Drawings 
-	Renderings 

Skills/ Requirements

- Must be proficient in AutoCAD
- Must be proficient in Adobe Photoshop, illustrator and SketchUp
- Superb communication skills
- Ability to plan, prioritize and multi-task.
- Detailed oriented.
- Positive, have good energy and attitude
- Can strategize and meet deadlines
- Must have experience in restaurant and hospitality design


Please include the following in your email application: 

- Resume 
- Portfolio 
- Link to Instagram account



    ",Interior Design firm needs Freelance Architect/ Interior Designer,https://newyork.craigslist.org/mnh/egr/d/interior-design-firm-needs/6302404487.html,TBD,SoHo,full-time
"
        
AKF Group LLC is a full-service consulting engineering firm serving public and private sector clients across the United States and around the world. Our NY office is seeking talented and motivated Electrical Engineers with experience in healthcare, higher ed, science & technology to join our staff. The salary will commensurate with experience of the individual.

Positions require 5 to 10+ years experience. Must have a Bachelor's degree from an accredited engineering program. Working knowledge of AutoCAD and Revit software. PE license is required, LEED certification preferred.

Full job descriptions can be found here: .    ",Electrical Engineers,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers/6302767247.html,The salary will commensurate with experience of the individual.,Financial District,full-time
"
        
AKF Group LLC is a full-service consulting engineering firm serving public and private sector clients across the United States and around the world. Our NY office is seeking talented and motivated Plumbing and Fire Protection Engineers with comprehensive knowledge and interpretation of code compliance requirements and industry standards to join our staff. The salary will commensurate with experience of the individual.

Positions require 3 to 10 years experience. Must have a Bachelor's degree from an accredited engineering program. Experience with Deltek Vision or Project Management software is preferred. PE license and LEED certification is preferred. 

Full job descriptions can be found here: .    ",Plumbing and Fire Protection Engineers,https://newyork.craigslist.org/mnh/egr/d/plumbing-and-fire-protection/6302794494.html,The salary will commensurate with experience of the individual.,Financial District,full-time
"
        
AKF Group LLC is a full-service consulting engineering firm serving public and private sector clients across the United States and around the world. Our NY office is seeking talented and motivated Electrical Commissioning Engineers with working knowledge of MEP building systems, electrical systems and testing, electrical testing equipment and electrical commissioning requirements to join our staff. The salary will commensurate with experience of the individual.

Positions require 4 to 10 years experience. Must have a Bachelor's degree from an accredited engineering program. Experience with sustainable design practices or facilities operations is preferred. PE license is preferred. Interstate travel is periodically required.

Full job descriptions can be found here: .    ",Electrical Commissioning Engineers,https://newyork.craigslist.org/mnh/egr/d/electrical-commissioning/6302785400.html,The salary will commensurate with experience of the individual.,Financial District,full-time
